titleID	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres	availabilityStart	availabilityEnd
tt1693727	movie	Massacre	Massacre	0	2010	\N	68	"Action,Horror"	2021-06-23T00:00:00	2022-09-03T00:00:00
tt1703069	movie	Kakera	Kakera	0	2009	\N	\N	\N	2021-09-16T00:00:00	2022-07-24T00:00:00
tt1712170	movie	Alex Cross	Alex Cross	0	2012	\N	101	"Action,Crime,Mystery"	2021-06-15T00:00:00	2022-05-21T00:00:00
tt1720191	movie	Pieces for Peace	Pieces for Peace	0	2008	\N	68	War	2021-04-28T00:00:00	2022-01-27T00:00:00
tt1728125	movie	Gohine Shobdo	Gohine Shobdo	0	2010	\N	105	"Action,Drama"	2021-08-16T00:00:00	2022-05-20T00:00:00
tt1735350	movie	Empty Rooms	Empty Rooms	0	2012	\N	92	"Drama,Horror,Mystery"	2021-02-21T00:00:00	2022-08-13T00:00:00
tt1743701	movie	Haunted Universities	Mahalai sayongkwan	0	2009	\N	110	Horror	2021-07-31T00:00:00	2022-02-26T00:00:00
tt1754194	movie	Railway Spine	Railway Spine	0	2016	\N	105	"Crime,Drama,War"	2021-06-19T00:00:00	2022-07-19T00:00:00
tt1758687	movie	On ne mourra pas d'en parler	Les équilibristes	0	2012	\N	90	"Biography,Documentary"	2021-03-01T00:00:00	2022-02-06T00:00:00
tt1768637	movie	Barcelona era una fiesta (Underground 1970-1983)	Barcelona era una fiesta (Underground 1970-1983)	0	2010	\N	56	Documentary	2021-09-30T00:00:00	2022-01-21T00:00:00
tt1776063	movie	Angels on the Rail	Angels on the Rail	0	2010	\N	54	Drama	2021-07-30T00:00:00	2022-06-21T00:00:00
tt1783732	movie	John Dies at the End	John Dies at the End	0	2012	\N	99	"Comedy,Fantasy,Horror"	2021-07-09T00:00:00	2022-02-09T00:00:00
tt1789917	movie	Stanley	Stanley	0	2010	\N	80	Horror	2021-06-23T00:00:00	2022-08-14T00:00:00
tt1797547	movie	The Road Less Traveled	Yat lo yau lei	0	2010	\N	108	Drama	2021-12-06T00:00:00	2022-05-26T00:00:00
tt1808152	movie	Gathering with the Men of Síða	Gathering with the Men of Síða	0	2009	\N	\N	Documentary	2021-07-10T00:00:00	2022-06-11T00:00:00
tt1816000	movie	The Proxy	The Proxy	0	\N	\N	\N	"Crime,Thriller"	2021-07-07T00:00:00	2022-12-09T00:00:00
tt1823153	movie	Les magasins ne réfléchissent pas la nuit	Les magasins ne réfléchissent pas la nuit	0	2009	\N	45	Mystery	2021-10-24T00:00:00	2022-06-15T00:00:00
tt1830643	movie	Death of Me	Death of Me	0	2020	\N	94	"Horror,Mystery,Thriller"	2021-05-09T00:00:00	2022-05-09T00:00:00
tt1837531	movie	Chica's Story: A New Day Has Broken	Chica's Story: A New Day Has Broken	0	2010	\N	90	Documentary	2021-12-20T00:00:00	2022-08-16T00:00:00
tt1844001	movie	Old Bridges/New Friends	Old Bridges/New Friends	0	1991	\N	80	Documentary	2021-10-09T00:00:00	2022-05-17T00:00:00
tt1849845	movie	Qing chun ai ren shi jian	Qing chun ai ren shi jian	0	2005	\N	\N	\N	2021-06-01T00:00:00	2022-05-27T00:00:00
tt1857736	movie	The Life and Death of Celso Junior	I zoi kai o thanatos tou Selso Tzounior	0	2011	\N	49	Documentary	2021-07-04T00:00:00	2022-09-16T00:00:00
